Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
04-06-2022 06:36,163.91,101.29,5.25,54.09,3.28,3646.24,27.66,82.77,49.87,899.94,43.92,80.78,206.29,92.07,952.43,50.09,139.24,900.33,325.92,96.91,21.6,87.5,134.8,212.6,14.55,750,14.5
04-06-2022 07:38,168.57,104.17,5.39,55.63,3.37,3719.49,28.43,89.22,42.27,899.94,43.78,81.35,209.88,98.3,952.2,53.72,139.53,900.33,327.18,96.66,22.5,86.2,133.5,212.3,14.5,750,14.8
04-06-2022 08:35,167.44,103.48,5.36,55.26,3.35,3676.83,29.43,89.44,47.27,899.94,43.6,80.79,204.86,78.66,952.45,46.68,136.29,900.31,327.23,96.8,20.1,85,133,212.5,14.29,750,15.4
04-06-2022 09:29,159.28,98.43,5.1,52.56,3.19,3653.49,30.52,89.56,48.64,899.94,43.78,79.76,205.31,84.62,962.13,48.69,138.53,900.31,327.2,96.8,21.5,87.5,134.5,211.5,14.26,750,16.3
04-06-2022 10:35,159.44,98.54,5.1,52.62,3.19,3700.32,32.31,92.77,44.68,899.94,43.92,82.55,209.16,123.98,952.59,57.96,144.55,900.36,324.09,97.08,22.3,85,134.2,211.3,14.2,750,17.4
04-06-2022 11:37,158.26,97.81,5.06,52.23,3.17,3638.65,33.23,90.75,49.84,899.94,43.54,85.04,201.91,117.52,951.21,56.63,142.58,900.36,323.47,97.05,20.3,83.1,133.9,211.6,14.26,750,15.8
04-06-2022 12:35,167.87,103.75,5.37,55.4,3.36,3644.73,33.7,89.99,53.08,899.94,43.45,84.4,196.34,159.14,957.69,63.97,151.45,900.41,320.06,96.98,22.2,85.6,135.8,212.3,14.2,750,12.8
04-06-2022 14:24,163.5,101.05,5.23,53.96,3.27,3674.09,34.19,93.6,51.46,880,43.16,88.63,182.12,107.3,957.52,51.82,141.77,900.4,321.76,96.69,23.4,88,133.3,212.3,14.23,750,16.7
04-06-2022 15:29,163.38,100.97,5.23,53.91,3.27,3636.53,33.94,98.08,49.92,880,43.66,86.55,181.73,138.39,967.09,57.21,143.44,900.42,319.71,96.69,20.7,88.3,132.6,212.6,14.2,750,14.3
04-06-2022 16:38,164.74,101.81,5.27,54.36,3.29,3635.96,32.76,87.72,56.3,899.94,43.1,85.86,182.12,136.69,967.22,63.48,151.64,900.43,318.39,96.67,23.8,86.2,133.3,212.3,14.5,750,15.7
04-06-2022 19:34,161.99,100.11,5.18,53.46,3.24,3728.66,30.61,88.44,41.78,899.94,42.66,81.39,175.18,205.77,957.55,34.1,129.69,900.29,328.51,96.93,22.1,87.5,135.2,212.6,14.6,750,15.1
04-06-2022 20:25,162.58,100.48,5.2,53.65,3.25,3458.03,33.86,90.75,50.06,899.94,0,76.28,171.77,155.39,927.08,71.45,147.67,895.36,330.02,96.53,23.1,87.5,135.8,211.4,14.78,750,14.8
04-06-2022 22:35,162.29,100.29,5.19,53.56,3.25,3559.02,33.77,91.13,48.67,920.02,43.47,80.68,206.13,140,937.37,60.49,135.71,905.33,327.59,95.71,20,86.5,136.3,212.5,14.58,750,14.9
04-06-2022 23:30,162.06,100.15,5.19,53.48,3.24,3616.99,34.29,93.78,50.51,899.94,42.65,85.85,186.13,92.13,957.97,66.18,153.19,900.46,317.03,96.7,18.6,86.9,133,211.9,14.3,750,13.5
05-06-2022 04:32,162.18,100.23,5.19,51.9,4.87,3665.76,33.17,84.44,46,889.99,44.19,89.03,172.25,90.51,941.93,61.92,130.29,895.36,336.19,96.51,22.56,87,133.6,212.8,14.23,750,12.7
05-06-2022 07:27,166.47,102.88,5.33,53.27,4.99,3784.16,30.22,91.85,45.38,899.94,43.85,82.97,211.85,205.77,941.56,73.7,160.24,904.19,324.03,96.69,21.3,86.8,133.2,211.5,14.55,750,15
05-06-2022 08:32,167.83,103.72,5.37,53.7,5.03,3756.71,29.84,90.48,46.19,899.94,43.3,87.44,215.87,165.66,906.6,55.54,146.06,905.4,325.75,96.75,20.3,85.5,133.5,212.8,14.87,750,14.5
05-06-2022 09:35,157.37,97.26,5.04,50.36,4.72,3668.56,32.89,92.24,45.47,889.99,43.43,69.7,173.42,60.93,942.58,37.33,132.66,905.33,336.9,96.72,22,87.5,133.2,211.6,14.7,750,15.9
05-06-2022 10:37,157.38,97.26,5.04,50.36,4.72,3672.35,32.22,89.72,44.32,880,40.99,70.65,180.58,56.17,942.51,38.91,130.57,905.34,334.38,96.25,20.3,86.2,133.2,212.3,14.3,750,15.1
05-06-2022 11:28,158.58,98,5.07,50.75,4.76,3678.57,31.63,86.92,44.75,880,40.25,78.57,191.44,72.65,962.51,50.69,142.1,895.45,334.44,96.8,23.5,82.1,133.5,211.6,14.38,750,15.7
05-06-2022 12:24,167.55,103.54,5.36,53.61,5.03,3695.64,29.33,96.25,40.36,899.94,45.88,78.96,193.16,88.33,937.23,31.98,136,905.25,335.59,96.85,19.5,86.4,133.2,212.8,14.56,750,15.5
05-06-2022 14:38,163.12,100.81,5.22,52.2,4.89,3693.94,28.45,89.67,45.12,899.94,45.1,82.65,170.2,99.07,952.2,55.06,142.38,890.28,318.76,96.65,21.1,86.4,132.3,212.6,13.88,750,16.4
05-06-2022 15:24,163.04,100.76,5.22,52.17,4.89,3700.67,29.13,92.06,36,920.02,47.17,87.86,166.02,131.83,962.43,49.81,138.41,890.28,319.14,96.51,23.4,86.4,132.8,212.3,14.9,750,13.6
05-06-2022 16:28,163.4,100.98,5.23,52.29,4.9,3611.14,30.14,80.12,48.77,899.94,43.57,78.85,182.77,151.19,957.81,61.44,150.45,900.45,317.74,96.79,19.6,87.5,132.7,213.6,15.2,750,15.3
05-06-2022 17:37,163.03,100.75,5.22,52.17,4.89,3660.47,30.37,90.56,42.31,880,40.79,87.33,188.67,119.54,946.98,58.36,144.91,905.39,327.6,96.75,20.3,86.4,132.8,211.3,14.79,750,14.8
